	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)
VARIABLES	peurostoxx_return_5y	peurostoxx_dslope210	peurostoxx_dslope27	peurostoxx_dslope310	peurostoxx_dslope37	pmsci_gross_return_5y	pmsci_gross_dslope210	pmsci_gross_dslope27	pmsci_gross_dslope310	pmsci_gross_dslope37	pmsci_net_price_return_5y	pmsci_net_price_dslope210	pmsci_net_price_dslope27	pmsci_net_price_dslope310	pmsci_net_price_dslope37	pmsci_net_price_rt_return_5y	pmsci_net_price_rt_dslope210	pmsci_net_price_rt_dslope27	pmsci_net_price_rt_dslope310	pmsci_net_price_rt_dslope37	pmsci_price_return_5y	pmsci_price_dslope210	pmsci_price_dslope27	pmsci_price_dslope310	pmsci_price_dslope37	pmsci_price_rt_return_5y	pmsci_price_rt_dslope210	pmsci_price_rt_dslope27	pmsci_price_rt_dslope310	pmsci_price_rt_dslope37	peurostoxx_return_5y	peurostoxx_dslope210	peurostoxx_dslope27	peurostoxx_dslope310	peurostoxx_dslope37	pmsci_net_price_return_5y	pmsci_net_price_dslope210	pmsci_net_price_dslope27	pmsci_net_price_dslope310	pmsci_net_price_dslope37	pmsci_price_return_5y	pmsci_price_dslope210	pmsci_price_dslope27	pmsci_price_dslope310	pmsci_price_dslope37	pmsci_price_rt_return_5y	pmsci_price_rt_dslope210	pmsci_price_rt_dslope27	pmsci_price_rt_dslope310	pmsci_price_rt_dslope37
																																																		
market_pr	0.00330**	0.00321*	0.00321*	0.00321*	0.00323*	0.00156	0.00156	0.00156	0.00156	0.00156	0.00244	0.00235	0.00235	0.00237	0.00238	0.00156	0.00156	0.00156	0.00156	0.00156	0.00333**	0.00324*	0.00325*	0.00324*	0.00327*	0.00321*	0.00312*	0.00312*	0.00312*	0.00314*	0.00330**	0.00321*	0.00321*	0.00321*	0.00323*	0.00244	0.00235	0.00235	0.00237	0.00238	0.00333**	0.00324*	0.00325*	0.00324*	0.00327*	0.00321*	0.00312*	0.00312*	0.00312*	0.00314*
	(0.00166)	(0.00167)	(0.00167)	(0.00167)	(0.00167)	(0.00149)	(0.00149)	(0.00149)	(0.00149)	(0.00149)	(0.00167)	(0.00168)	(0.00168)	(0.00168)	(0.00168)	(0.00149)	(0.00149)	(0.00149)	(0.00149)	(0.00149)	(0.00166)	(0.00167)	(0.00167)	(0.00167)	(0.00167)	(0.00166)	(0.00167)	(0.00167)	(0.00167)	(0.00167)	(0.00166)	(0.00167)	(0.00167)	(0.00167)	(0.00167)	(0.00167)	(0.00168)	(0.00168)	(0.00168)	(0.00168)	(0.00166)	(0.00167)	(0.00167)	(0.00167)	(0.00167)	(0.00166)	(0.00167)	(0.00167)	(0.00167)	(0.00167)
smb	0.00588	0.00584	0.00580	0.00582	0.00577	0.00631*	0.00633*	0.00632*	0.00628*	0.00627*	0.00596	0.00585	0.00585	0.00579	0.00581	0.00631*	0.00633*	0.00632*	0.00628*	0.00627*	0.00599	0.00594	0.00591	0.00593	0.00588	0.00593	0.00589	0.00585	0.00587	0.00582	0.00588	0.00584	0.00580	0.00582	0.00577	0.00596	0.00585	0.00585	0.00579	0.00581	0.00599	0.00594	0.00591	0.00593	0.00588	0.00593	0.00589	0.00585	0.00587	0.00582
	(0.00435)	(0.00438)	(0.00438)	(0.00439)	(0.00437)	(0.00366)	(0.00369)	(0.00367)	(0.00371)	(0.00367)	(0.00423)	(0.00426)	(0.00426)	(0.00427)	(0.00426)	(0.00366)	(0.00369)	(0.00367)	(0.00371)	(0.00367)	(0.00435)	(0.00438)	(0.00437)	(0.00438)	(0.00437)	(0.00435)	(0.00438)	(0.00438)	(0.00439)	(0.00438)	(0.00435)	(0.00438)	(0.00438)	(0.00439)	(0.00437)	(0.00423)	(0.00426)	(0.00426)	(0.00427)	(0.00426)	(0.00435)	(0.00438)	(0.00437)	(0.00438)	(0.00437)	(0.00435)	(0.00438)	(0.00438)	(0.00439)	(0.00438)
hml	-0.0116***	-0.0117***	-0.0117***	-0.0117***	-0.0117***	0.000736	0.000741	0.000744	0.000749	0.000741	-0.00717*	-0.00722*	-0.00721*	-0.00721*	-0.00723*	0.000738	0.000743	0.000746	0.000751	0.000743	-0.0116***	-0.0118***	-0.0118***	-0.0118***	-0.0117***	-0.0117***	-0.0118***	-0.0118***	-0.0118***	-0.0118***	-0.0116***	-0.0117***	-0.0117***	-0.0117***	-0.0117***	-0.00717*	-0.00722*	-0.00721*	-0.00721*	-0.00723*	-0.0116***	-0.0118***	-0.0118***	-0.0118***	-0.0117***	-0.0117***	-0.0118***	-0.0118***	-0.0118***	-0.0118***
	(0.00357)	(0.00360)	(0.00360)	(0.00360)	(0.00359)	(0.00283)	(0.00283)	(0.00283)	(0.00283)	(0.00283)	(0.00378)	(0.00381)	(0.00381)	(0.00381)	(0.00381)	(0.00283)	(0.00283)	(0.00283)	(0.00283)	(0.00283)	(0.00357)	(0.00360)	(0.00359)	(0.00359)	(0.00359)	(0.00358)	(0.00360)	(0.00360)	(0.00360)	(0.00360)	(0.00357)	(0.00360)	(0.00360)	(0.00360)	(0.00359)	(0.00378)	(0.00381)	(0.00381)	(0.00381)	(0.00381)	(0.00357)	(0.00360)	(0.00359)	(0.00359)	(0.00359)	(0.00358)	(0.00360)	(0.00360)	(0.00360)	(0.00360)
return_5y	0.0229					0.00101					0.0223*					0.00101					0.0229					0.0229					0.0229					0.0223*					0.0229					0.0229				
	(0.0140)					(0.00756)					(0.0132)					(0.00756)					(0.0140)					(0.0140)					(0.0140)					(0.0132)					(0.0140)					(0.0140)				
